"","PopDensity","x","y"
"2208",24586.5815562093,696320,-677320
"2209",27182.5725547871,697240,-677320
"2210",28726.9833914363,698160,-677320
"2211",29065.2025885998,699080,-677320
"2212",29214.0276564306,7e+05,-677320
"2213",28123.5219780574,700920,-677320
"2214",26333.6300011598,701840,-677320
"2215",10859.8657854948,702760,-677320
"2216",23424.0449975528,703680,-677320
"2217",26511.8136149713,704600,-677320
"2218",26658.8114628988,705520,-677320
"2219",26218.4842000946,706440,-677320
"2220",32323.0684713853,707360,-677320
"2221",33822.5972773695,708280,-677320
"2222",31422.4722182644,709200,-677320
"2223",33405.2326930688,710120,-677320
"2224",30139.130330791,711040,-677320
"2225",29377.4622898663,711960,-677320
"2226",50750.32379814,712880,-677320
"2227",22988.2075503674,713800,-677320
"2228",21820.4490098714,714720,-677320
"2229",20029.2905402399,715640,-677320
"2230",18109.6642739508,716560,-677320
"2231",17875.9639246981,717480,-677320
"2270",20292.6428524586,687120,-676400
"2271",19985.2917394505,688040,-676400
"2272",20967.0405472711,688960,-676400
"2273",21005.3922689034,689880,-676400
"2274",19385.7502016144,690800,-676400
"2275",13963.6381417844,691720,-676400
"2276",15876.4839980696,692640,-676400
"2277",20607.8695571949,693560,-676400
"2278",18846.137494404,694480,-676400
"2279",17388.7515851423,695400,-676400
"2280",23040.2187379233,696320,-676400
"2281",19225.6316875008,697240,-676400
"2282",20019.9870423895,698160,-676400
"2283",27801.8090204255,699080,-676400
"2284",28619.1567435681,7e+05,-676400
"2291",27619.6725208067,706440,-676400
"2292",30205.5032758486,707360,-676400
"2293",29943.6323356831,708280,-676400
"2294",32717.2144622905,709200,-676400
"2295",31127.1902460147,710120,-676400
"2296",37374.9944511015,711040,-676400
"2297",36051.3769014841,711960,-676400
"2298",30535.0472776128,712880,-676400
"2299",21111.7393043649,713800,-676400
"2300",17866.7375793658,714720,-676400
"2301",15119.9039163476,715640,-676400
"2302",11136.9501697762,716560,-676400
"2303",11255.4194393269,717480,-676400
"2343",17837.5515778387,688040,-675480
"2344",19799.2180933136,688960,-675480
"2345",20466.8285061212,689880,-675480
"2346",18230.4716963962,690800,-675480
"2347",7592.42358169163,691720,-675480
"2348",11276.7491123649,692640,-675480
"2349",20285.5300747472,693560,-675480
"2350",22103.9101589586,694480,-675480
"2351",22873.2203296689,695400,-675480
"2352",23517.76917698,696320,-675480
"2354",20661.0137206662,698160,-675480
"2365",14978.7383880884,708280,-675480
"2366",25131.7819647677,709200,-675480
"2367",14269.3635977201,710120,-675480
"2369",33408.2037625634,711960,-675480
"2370",31469.0712545639,712880,-675480
"2371",25399.4477160175,713800,-675480
"2372",17235.5085072965,714720,-675480
"2373",14459.7412380842,715640,-675480
"2374",12754.6302448097,716560,-675480
"2375",12777.0556980026,717480,-675480
"2414",18488.3943212482,687120,-674560
"2415",14302.6904844268,688040,-674560
"2416",18375.9030943832,688960,-674560
"2417",20416.1342281336,689880,-674560
"2418",19721.732687812,690800,-674560
"2419",17599.2952642277,691720,-674560
"2426",25237.7493279455,698160,-674560
